"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","keyword","textStemming"
"614","rt  thomas guenole  itw  ouestfrance    cette  confpr fut un petard mouille    fhollande a gache une occasion historique   http   t co fdvm ",FALSE,0,NA,2015-02-05 20:10:24,FALSE,NA,"563429454094278656",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","prunius",4,TRUE,FALSE,NA,NA,"#ps","rt  thom guenol  itw  ouestfr      confpr   petard mouill    fholland a gach  occas histor   http    co fdvm"
"615"," girolata20 on comprend mieux pourquoi le  ps veut autoriser les gamins de 15 ans a voter   ",FALSE,0,"Girolata20",2015-02-05 20:10:18,FALSE,"563426475677069312","563429429037502464","119006593","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","valerieantoine",2,FALSE,FALSE,NA,NA,"#ps"," girolata20  comprend mieux pourquoi   p veut autoris  gamin  15 an a vot  "
"616","rt  itele  interview de nkm  gt   le  ps desespere la france  le  fn la defigurerait   gt  gt http   t co zuvr55rneb http   t co son39ohyzg",FALSE,0,NA,2015-02-05 20:09:50,FALSE,NA,"563429309738921984",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","PierreBhrt",18,TRUE,FALSE,NA,NA,"#ps","rt  itel  interview  nkm  gt     p desesper  franc    fn  defigur   gt  gt http    co zuvr55rneb http    co son39ohyzg"
"617","rt  bjm781   circo2504     votez ni  ps ni  fn ni  ump ni abstention     https   t co xh6rmcgonv  vive ninie    http   t co i6ix0owbjs",FALSE,0,NA,2015-02-05 20:09:48,FALSE,NA,"563429303837556736",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","LaMutine",3,TRUE,FALSE,NA,NA,"#ps","rt  bjm781   circo2504     vot ni  p ni  fn ni  ump ni abstent     http    co xh6rmcgonv  viv nin    http    co i6ix0owbj"
"618","rt  arthurnazaret   aubry    tenons nos promesses sur  fessenheim  c est un imperatif de credibilite et de cohesion de la gauche   contribu ",FALSE,0,NA,2015-02-05 20:08:49,FALSE,NA,"563429053466943488",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","laurebretton",8,TRUE,FALSE,NA,NA,"#ps","rt  arthurnazaret   aubry    tenon  promess   fessenheim     imper  credibilit   cohes   gauch   contribu"
"619","rt  sandrinefromla   blaemag  foxla23 sauf que je cherche tj a savoir qui a paye la campagne de  taubira et qui a elimine  jospin  ps une v ",FALSE,0,NA,2015-02-05 20:08:47,FALSE,NA,"563429048211472384",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","hyphas",4,TRUE,FALSE,NA,NA,"#ps","rt  sandrinefroml   blaemag  foxla23 sauf   cherch tj a savoir  a pay  campagn   taub   a elimin  jospin  p  v"
"620"," circo2504     votez ni  ps ni  fn ni  ump ni abstention     https   t co xh6rmcgonv  vive ninie    http   t co i6ix0owbjs",FALSE,1,NA,2015-02-05 20:08:40,FALSE,NA,"563429019291770880",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","BJM781",3,FALSE,FALSE,NA,NA,"#ps"," circo2504     vot ni  p ni  fn ni  ump ni abstent     http    co xh6rmcgonv  viv nin    http    co i6ix0owbj"
"621","rt  arthurnazaret  aubry veut  fixer par la loi des contreparties au 41 m du  cice et du pacte de responsabilite   contribution  ps",FALSE,0,NA,2015-02-05 20:08:23,FALSE,NA,"563428945589440512",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","2bine",9,TRUE,FALSE,NA,NA,"#ps","rt  arthurnazaret  aubry veut  fix   loi  contrepart  41    cic   pact  responsabilit   contribu  p"
"622","rt  itele  interview de nkm  gt   le  ps desespere la france  le  fn la defigurerait   gt  gt http   t co zuvr55rneb http   t co son39ohyzg",FALSE,0,NA,2015-02-05 20:08:20,FALSE,NA,"563428935745417216",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SylviePULUR1",18,TRUE,FALSE,NA,NA,"#ps","rt  itel  interview  nkm  gt     p desesper  franc    fn  defigur   gt  gt http    co zuvr55rneb http    co son39ohyzg"
"623","rt  samira salomon  midi py elections regionales christian teyssedre se retire de primaire  ps   encore un pb  parachutage carole delga htt ",FALSE,0,NA,2015-02-05 20:08:07,FALSE,NA,"563428881030713344",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","soleildusud34",2,TRUE,FALSE,NA,NA,"#ps","rt  sam salomon  mid py elect regional christian teyssedr  retir  primair  p   encor  pb  parachutag carol delg htt"
